Participant ID,Q. 1 In which industry have you been primarily employed-Please choose one of the following answers.,In which industry have you been primarily employed-Please choose one of the following answers. [Other],Q 2. What is the highest qualification you hold-Please choose one of the following answers.,What is the highest qualification you hold-Please choose one of the following answers. [Other],Q. 3 What is the institution where you completed your highest qualification- Please enter in the text box below.,Q. 4 When did you receive your highest qualification-Please enter the year in the box below.,Q. 5 How many years have you worked in your profession-Please choose one of the following answers.,"Q. 6 What is the country and state of your organisation-
Please enter in the text box below.",Q. 7 In what geographic area(s) would you consider yourself an expert-Please list up to three geographic areas. [],In what geographic area(s) would you consider yourself an expert-Please list up to three geographic areas. [],In what geographic area(s) would you consider yourself an expert-Please list up to three geographic areas. [],Q. 8 In what chronological period(s) would you consider yourself an expert- Please list up to three chronological periods. [],In what chronological period(s) would you consider yourself an expert- Please list up to three chronological periods. [],In what chronological period(s) would you consider yourself an expert- Please list up to three chronological periods. [],Q. 9 In what sub-discipline(s) would you consider yourself an expert- Please list up to three sub-disciplines. [],In what sub-discipline(s) would you consider yourself an expert- Please list up to three sub-disciplines. [],In what sub-discipline(s) would you consider yourself an expert- Please list up to three sub-disciplines. [],Q. 10 In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],In what method(s) or technique(s) would you consider yourself an expert- Please list up to five methods or techniques. [],Q. 11 In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],In what site type(s) and/or material culture(s) would you consider yourself an expert- Please list up to five site types and/or material cultures. [],"Q. 12 Do any reference materials directly influence the concepts and terminology of your publications or reports-
Please select yes or no. Please name your most influential reference material in the comment section.","Q. 13 If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","If you answered yes to the question above, what reference materials most influence the concepts and terminology that you use-Please list up to five reference materials. []","Q. 14 If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []","If you teach archaeology (at a university, as part of induction of new employees into a cultural heritage firm, or in other settings), what reference materials do you recommend to your students or trainees-Please name up to five reference materials. Leave blank if not applicable. []",Q. 15 Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Have you seen other archaeologists using reference material which you consider to be outdated- Please name up to five reference materials. Leave blank if not applicable. [],Q. 16 Do you provide meaningful definitions for key terms in your publications and/or datasets-Please choose one of the following answers.,Q. 17 Do other archaeologists provide meaningful definitions for key terms in their publications and/or datasets-Please choose one of the following answers.,"Q. 18 Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I use a well-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I borrow from a well-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I use a less-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I borrow from a less-established system developed elsewhere]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I create new recording systems]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [I inherit recording systems from an unknown source]","Do you design or manage recording systems- If yes, consider your key fields and attributes. Which of the following statements best describes your situation- 
Please select up to three. Leave blank if not applicable. [Other]","Q. 19 If you answered the above question, and you borrow or adapt an existing system, please specify which system.",Q. 20 What working environments have most influenced the development of your concepts and terminology- [Ranking 1],What working environments have most influenced the development of your concepts and terminology- [Ranking 2],What working environments have most influenced the development of your concepts and terminology- [Ranking 3],What working environments have most influenced the development of your concepts and terminology- [Ranking 4],What working environments have most influenced the development of your concepts and terminology- [Ranking 5],What working environments have most influenced the development of your concepts and terminology- [Ranking 6],What working environments have most influenced the development of your concepts and terminology- [Ranking 7],"Q. 21 If you included ""other"", please specify.",Q. 22 What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 1],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 2],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 3],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 4],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 5],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 6],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 7],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 8],What do you think are the most valuable source(s) for generating and reconciling core concepts and terminology- [Ranking 9],"Q. 23 If you included ""other"", please specify.",Q. 24 Do you think there is a lack of standardised vocabulary in archaeological literature/reports-Please choose one of the following answers.,"Q. 25 If you answered yes to the question above, how serious would you consider the impact of the lack of standardisation on archaeology as a discipline-
If you did not answer yes to the question above, please select 'no answer.'
Optional: can you think of a specific example where a lack of standardisation has been a significant issue- Please enter in comment section.","If you answered yes to the question above, how serious would you consider the impact of the lack of standardisation on archaeology as a discipline-
If you did not answer yes to the question above, please select 'no answer.'
Optional: can you think of a specific example where a lack of standardisation has been a significant issue- Please enter in comment section. - comment",Q. 26 Are you willing to compromise over the use of terms and concepts in your own practice to achieve a reconciliation of terms-,Are you willing to compromise over the use of terms and concepts in your own practice to achieve a reconciliation of terms- - comment,"Q. 27 To what extent would you consider your own lexicon to be part of a wider, accepted vocabulary within your sub-discipline(s)-
Please choose one of the following answers.",Q. 28 Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],Please think of a disagreement you have had with other archaeologists over the use of a term. What was the term- Please list up to five terms. [],"Q. 29 Please describe in a few words an example where a disagreement over the definition of a term had a significant impact on research, analysis, or understanding. Please name the term, and provide a brief description. Leave blank if not applicable.","Q. 30 How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [In your chronological period(s)-]","How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [In your methodological practice(s)-]","How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [In your sub-discipline(s)-]","How often do you disagree with the terminology used in fieldwork, research or writing:Please choose one of the following answers for each question. [Outside your sub-discipline(s)-]","Q. 31 When I work with other colleagues, I have to learn new terms to fit in with their workflow.Please choose one of the following answers.","Q. 32 A Please select your stance on the following statements.
Please choose one of the following answers for each statement. [I think that archaeologists across all sub-disciplines share common core concepts and terminology.]","Q. 32 B Please select your stance on the following statements.
Please choose one of the following answers for each statement. [When I read archaeological literature across all sub-disciplines, I see a commonly shared bank of concepts and terminology.]","Q. 32 C Please select your stance on the following statements.
Please choose one of the following answers for each statement. [I think that archaeologists in my sub-discipline(s) share common core concepts and terminology.]","Q. 32 D Please select your stance on the following statements.
Please choose one of the following answers for each statement. [When I read archaeological literature in my sub-discipline(s), I see a commonly shared bank of concepts and terminology.]",Q. 33 What three resources do you most frequently use to define concepts and/or terms- Please list up to three resources. Please be as specific as possible.  [],What three resources do you most frequently use to define concepts and/or terms- Please list up to three resources. Please be as specific as possible.  [],What three resources do you most frequently use to define concepts and/or terms- Please list up to three resources. Please be as specific as possible.  [],Q. 34 When does the standardisation of terminology become most important-Please choose one of the following answers.,When does the standardisation of terminology become most important-Please choose one of the following answers. [Other],"Q. 35 Thank you for participating in our survey. If you have any further comments please enter them in comment box below. If you wish for a reply, further information or to be updated on the progress of this project, please leave an email address. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,University,,Doctorate,,University of Gothenburg,1975,20+,Victoria Australia,South East Australia,Eastern Mediterranean,,Holocene,Bronze Age,,Indigenous Australia,Bronze Age Cyprus,,Excavation,Artefact documentation,Statistical analysis,Explanation,Publication,settlements,cemeteries,rock shelters,shell middens,,Yes,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Heritage Management,,Masters,,James cook univ,1988,20+,Queensland (Australia),north Australia (tropics),,,Colonial and post colonial (19th - 20th centuries),,,Historical,CHM,Interpretation & tourism,site survey,artefact analysis,,,,Overseas Chinese,mining,19th century domestic wares,agricultural,,Yes,ASHA journals,Godden G 1991 Ency of British pottery & Porc. Marks (Book),"Lewis 1941 Elements of mining Wiley, (Book)","TROVE, NLA",,,,,,,,,,,,Always,Often,No,Yes,No,No,Yes,No,,"excel spreadsheets, Filemaker pro data base a ssuited to task",Fieldwork,Institutional Training,Government Institution,Individual Research,Professional Mentor,Organisation/Company,Other,Results of similar oversea work,Textbooks,Journal Articles,Monographs,Recording Forms,Reports,Handbooks,Conference Papers,,,,Yes,Minor,Biggest issue is when the writers fails to define their own terminology,Not sure,Only if I believe the standard terms are better and more easily understood,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",,,,,,,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Govt regs,ICOMOS terms,technical (ie non-archaeological) manuals,At data analysis,, update me on results please at ggrimwade@bigpond.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,University,,Doctorate,,University of Queensland,2000,20+,Queensland (Australia),,Southeast Queensland,,Historic,,,Historical,Cultural Heritage Management,Ceramics,Excavation,Survey,Ceramic Analysis,Significance Assessment,Management Planning,Ceramics,Bottle glass,,,,Yes,The Parks Canada Glass Glossary 1989,"Godden, G 1964 Encyclopedia of British Pottery and Porcelain Marks","Brooks, A 2005  An Archaeological Guide to British Cermaics in Australia",Any and all of Rowan Ward's report for Casey & Lowe that are available on the web,,"Burke and Smith (2004) The Archaeologist's Field Handbook, Book","Kipfer (2007) The Archaeologist's Fieldwork Companion, Book of forms","Johnson (2010) Archaeological Theory: An introduction, Book",,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,University,,Doctorate,,Melbourne University,1988,20+,Victoria (Australia),Cyprus,,,Bronze Age,,,prehistory,,,excavation,find analysis,find recording,,,ceramics,lihtics (ground stone),glyptic,settlements,cemeteries,Yes,"J.R. Stewart 1962 The Early Cypriot Bronze Age, Swedish Cyprus Expedition Vol. IV:IA, ceramic typology",,,,,,,,,,,,,,,Often,Often,No,No,No,No,Yes,No,,,Professional Mentor,Individual Research,Fieldwork,,,,,,Recording Forms,Handbooks,Reports,,,,,,,,Yes,Minor,,Yes,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",colonisation,acculturation,,,,Diagreement about the use of specific terms has led to a major long-running debate in publications between myself (and a co-author) and another colleague working in the same field.,Sometimes,Sometimes,Sometimes,Sometimes,Often,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,site reports; monographs; journals,,,During writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Government Institution,,Doctorate,,University of Sydney,1987,20+,New South wales Australia,"South eastern Australia, Australia",,,"Late Pleistocene, Holocene",,,Australian Aboriginal prehistory and archaeology,,,excavation,stone artefact analysis,site/artefact distribution pattern analysis,land use patterns,,stone artefacts,archaeological deposits (open and in rockshelters),shell middens (open and in rockshelters),,,No,,,,,,"P Hiscock, Archaeology of Ancient Australia (book","S Holdaway and N Stern, A Record in Stone (book","FD McCarthy, Australian Stone Tools (book","a variety of journal articles, other books, book chapters - too numerous to list",,"the date of reference material to be considered outdated, depends on the study/analysis being carried out",,,,,Always,Often,No,Yes,No,Yes,Yes,No,,too many used over a long period of time to list,Professional Mentor,Individual Research,Fieldwork,,,,,,Workshops,Handbooks,Journal Articles,Recording Forms,,,,,,,Yes,Minor,,Not sure,"depends on what I am being asked to compromise, and how much I disagree with the use of the terms and concepts","Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",artefact,,,,,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,I do not restrict my use of resources to three main resources,,,At data creation,,Some of the options for responding were limiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,University,,Doctorate,,University of New England,2001,20+,South Australia (Australia),Australia,Outer space,,Pleistocene,Holocene,Contemporary past,Indigenous,Space archaeology,Cultural Heritage Management,Usewear and residue analysis,Surface survey,Lithic analysis,,,Lithics,Bottle glass,Open sites,Satellite tracking stations,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,I am still studying,,Bachelors,,Flinders University,2012,I am currently studying.,South Australia (Australia),"Flinders ranges, Australia","Port Arthur, Australia","Umbria, Italy",Mid Republican Roman to 1st AD,Late Holocene,Australian Colonial,Classical,Indigenous,Maritime,Excavation,Surface survey,Remote Sensing,Photogrametry,3D visualisation,Mosaic,Roman Glass,Roman ceramic,,,Yes,,,,,,Archeaology Field Handbook. Smith and Burke,,,,,No,,,,,Always,Sometimes,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,University,,Honours,,LaTrobe,1995,11-15,"Victoria, Australia","Cape York, Australia","Tasmania, Australia",Papua New Guinea,Pleistocene,Holocene,,Archaeobotany,Anthracology,Indigenous,Archaeobotany,Excavation,Surface Survey,Lithics,Historical,charcoal,Shell Middens,Plant remains,Nails,Bricks,Yes,IAWA Key to Hardwood Identification,IAWA key to Softwood Identification,,,,Mulvaney & Kamminga,As above,Deborah Pearsall's Archeobotany book,,,,,,,,Rarely,Sometimes,No,Yes,No,No,No,No,,Monash Archaeology (David & McNiven),Individual Research,Fieldwork,Institutional Training,,,,,,Journal Articles,Monographs,Handbooks,Workshops,Recording Forms,,,,,,No, ,,Yes,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",,,,,,,Rarely,Sometimes,Sometimes,Rarely,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,At data creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,University,,Doctorate,,"The University of Oxford, UK",2005,6-10,"New South Wales, Australia",central Eurasia,,,Bronze Age,Iron Age,,Archaeological Sciences,,,Stable Isotope Analysis,Electron Microprobe,Scanning Electron Microscopy,,,Burial Mounds,,,,,Yes,the format & terminology used by the original excavators in their reports,,,,,"Renfrew & Bahn 2012. Archaeology: Theories, Methods, and Practice (Sixth Edition). Thames & Hudson",Hillson 2005. Teeth. Cambridge University Press,Bass 1995. Human Osteology: A Laboratory and Field Manual. Missouri Archaeological Society; 4th edition,,,"Archer, Michael; Baynes, Alexander (1972). ""Prehistoric mammal faunas from two small caves in the extreme southwest of Western Australia"". Journal of the Royal Society of Western Australia 55: 80–89.",,,,,Sometimes,Sometimes,No,No,No,No,Yes,No,,,Institutional Training,Professional Mentor,Individual Research,,,,,,Textbooks,Handbooks,Recording Forms,,,,,,,,Not sure, ,,Yes,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",Error,,,,,"Error used to express only precision, when accuracy is the more significant, larger term (and remains unexpressed)",Sometimes,Rarely,Rarely,Sometimes,Rarely,Agree,Agree,Strongly Agree,Strongly Agree,"for Archaeological Science: recent, peer-reviewed literature (generally all available online)",For age ranges and names for periods: regionally specific site reports & books,,At data creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,I am still studying,,Honours,,The University of Melbourne,2008,I am currently studying.,"Victoria, Australia",Crete,Egypt,Greece,Bronze Age,Palaeolithic,Neolithic,Bronze Age Archaeology,Palaeoanthropology,Materials Conservation,Research,Scholarly research,Materials Research of Artefacts,Materials Conservation and Repair,Museology,Bronze Age Mediterranean Artefacts,Ancient Egyptian artefacts,Minoan artefacts,Minoan frescoes,Mycenaean artefacts,Yes,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Heritage Management,,Honours,,Australian National University,2012,1-5,Western Australia (Australia),"Pilbara, Australia",,,Holocene,,,Indigenous,,,Excavation,Surface survey,,,,Lithics,Rock shelters,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Heritage Management,,Doctorate,,UNE,1996,20+,South Australia (Australia),None!,,,None,,,"Historical Archaeology, Cultural Heritage Management",,,None,,,,,"Ceramics, glass, buildings",,,,,Yes,"Jones, O and C. Sullivan (1989) The Parks Canada Glass Glossary. Ottawa: Canadian Parks Service.  Downloadable from: http://www.sha.org/research_resources/parks_canada.cfm. ","Boow, J. (1991) Early Australian Commercial Glass: Manufacturing Processes. Sydney: Heritage Council of NSW and Department of Planning. ","Apperley, R., Irving, R. and P. Reynolds (1989) A Pictorial Guide to Identifying Australian Architecture.  Sydney: Angus and Robertson.","Majewski, Teresita and Michael O’Brien (1985)  The use and misuse of nineteenth-century English and American ceramics in archaeological analysis.  Advances in Archaeological Method and Theory 11: 97-209.",,As above,,,,,No.,,,,,Always,Rarely,No,No,No,No,Yes,No,,,Individual Research,,,,,,,,Journal Articles,Handbooks,Monographs,,,,,,,,Yes,Major,"It's difficult to quantify, though, because the question assumes that a difference in terminology equates to a difference in interpretation - whereas the interpretation can be poor or non existent even with the correct and accepted terminology. I've said major, but there is no way to know this for sure without an innovative way to measure the correlation.",Yes,,"All of the terms within my own lexicon are part of a wider, accepted vocabulary.","Not a disagreement per se (I've never had this argument with anyone, but I'm sure it could arise) - but an observation on the difference in the literature between definitions of particular ceramic wares On the spectrum of refined earthenwares o",One archaeologist's ironstone will be another's white granite or whiteware.  There is no clear definition of these categories because they are all part of a competitive manufacturing process throughout the nineteenth century that saw numerous gradations between ware types over time. ,,,,,No answer,Sometimes,Sometimes,No answer,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Sorry, this is a comment on Question 32 above - this needs to divorce core concepts from terminology.  I think we have shared core concepts but not terminology necessarily.  The question above doesn't let me say this.",Answered in an earlier question,,Other,All times - creation is critical for the recognition but since everything after that depends on it they can't be separated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Heritage Management,,Honours,,"University College Cardiff, UK",1985,20+,Victoria (Australia),"South Wales, United Kingdom",,,Mediaeval,Early post-mediaeval,Industrial,Historical,Industrial,,Excavation,Surface survey,Earthworks survey,Building recording,,Open settlement sites,Stratified urban sites,Waterlogged deposits,,,,,,,,,,,,,,,,,,,,Sometimes,No,No,Yes,No,No,No,,Field recording forms; Context records,Fieldwork,Organisation/Company,,,,,,,Journal Articles,Conference Papers,Workshops,Reports,Recording Forms,,,,,,Yes,Minor,,No,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",Colluvial (soil),Shatter (debitage),Natural (soil),,,,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Moderately Agree,Agree,Agree,Moderately Agree,"Holdaway and Stern, A Record In Stone (2004), Lithics handbook",,,During writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,University,,Honours,,University of WA,2005,6-10,Western Australia (Australia),Southern Western Australia,,,"Historical, post 1788",,,Historical,Indigenous,Urban archaeology,excavation,surface survey,stratigraphic analysis,standing building recording and analysis,Analysis of documentary evidence,Urban historical sites,Historical artefacts (particularly glass and metal),"Large animal domestic faunal remains (sheep, cows, pigs, camels, horses etc)",Lithics,,Yes,"Burke, H., & Smith, Claire. 2004. The Archaeologist's Field Handbook, book","Museum-of-London. 1994. Archaeological Site Manual, book","Balme, J., & Paterson, A. (ed.) 2006. Archaeology in Practice: a Student Guide to Archaeological Analysis, book","Roskams, S. 2001. Excavation, book",Burra Charter,"Burke, H., & Smith, Claire. 2004. The Archaeologist's Field Handbook, book","Museum-of-London. 1994. Archaeological Site Manual, book","Balme, J., & Paterson, A. (ed.) 2006. Archaeology in Practice: a Student Guide to Archaeological Analysis, book","Roskams, S. 2001. Excavation, book","Kerr, J. S. 2000. Conservation Plan, book",,,,,,Sometimes,Sometimes,No,Yes,No,No,Yes,No,,"single context recording system, developed by the Museum of London",Fieldwork,Professional Mentor,Organisation/Company,Institutional Training,Individual Research,,,,Workshops,Other,Textbooks,Recording Forms,Handbooks,Reports,Monographs,Journal Articles,,Field training,Yes,Major,"Moving from one country to another, where the practitioners used a completely different technical vocab to that used in Australian practice",Yes,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",Feature,Unit,Square,survey,context,"1. When I started work in the UK I almost got fired because they thought I didn't know what I was talking about due to terminology differences
2. At the site I work at in Egypt there is regular confusion amongst practitioners due to the difference in understanding of terminology, based on their geographical background",Sometimes,Often,Rarely,Often,Sometimes,Moderately Agree,Moderately Disagree,Agree,Agree,"Burke, H., & Smith, Claire. 2004. The Archaeologist's Field Handbook, book","Museum-of-London. 1994. Archaeological Site Manual, book",,At data creation,,A major problem in Australian archaeology is the difference between training for indigenous and historical archaeology. Training in the lexicon of indigenous test pit excavation doesn't prepare you for open area historical site excavation and vice versa. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Heritage Management,,Honours,,NTU,1996,11-15,South Australia (Australia),none,,,none,,,none,,,none,,,,,none,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Heritage Management,,Doctorate,,"NAtional University of Ireland, Galway",2013,6-10,Cork (Ireland),"Ireland, Particularly the west of Ireland",,,Historical Period in Ireland (400AD-Present),,,"Landscape Archaeology, Survey and Geophysics",,,"Research, Excavation, remote sensing, surface survey, geophysics, archaeobotany",,,,,Landscape and Settlement ,,,,,,,,,,,,,,,,,,,,,Always,Often,Yes,Yes,No,No,No,No,,"Museum of London Archaeology Service, English Heritage Guideline Publications",Institutional Training,Professional Mentor,Individual Research,Fieldwork,Organisation/Company,Government Institution,,,Handbooks,Textbooks,Journal Articles,Monographs,Reports,Conference Papers,Workshops,Recording Forms,,,,,,No,,"Most of the terms within my own lexicon are part of a wider, accepted vocabulary.",,,,,,,Often,Sometimes,Sometimes,No answer,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,During writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,I am still studying,,Bachelors,,Monash University,2013,I am currently studying.,Australia Victoria,Western Victorian Stone Gunditjmara huts,Flinders Ranges Rock Art,Tuscan Etruscan history, Late Holocene,,,Indigenous,Historical,,excavation,,,,,rock art,stone hut sites,,,,,,,,,,n/a,,,,,no,,,,,Sometimes,Rarely,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Heritage Management,,Masters,,The Ohio State University,1974,20+,"Australia, New South Wales","New South Wales, Australia","Tasmania, Australia","Midwest, United States",convict era,industrial era,1900s,Historical,,,material culture,,,,,glass,ceramics,convict,,,Yes,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,No answer,No answer,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,University,,Doctorate,,"CAU Kiel, Germany",2004,11-15,Germany,Temperate and Northern Europe,,,"Iron Age, Wiking Age, Bronze Age",,,Quantitative Archaeology,Maritime Archaeology,,"statistics, excavation, ",,,,,"settlements, fortifications, ships, ceramics,",,,,,Yes,"D. L. Clarke (1968), Analytical Archaeology, Book","K. P. Hansen (2003), Kultur und Kulturwissenschaft, Book","P. Haggett (1965), Locational Analysis in Human Geography, Book.",,,"C. Renfrew/P. Bahn (1993), Archaeology",Ortlieb/ Dresky/Gasser/Günzel (2009) Mathematische Modellierung,"S. Kluiving/ E. Guttmann-Bond (eds., 2012) Landscape Archaeology","D. L. Clarke (1968), Analytical Archaeology, Book","P. Haggett (1965), Locational Analysis in Human Geography, Book.",,,,,,Often,Rarely,No,No,No,No,No,No,"combination own creations, well-established systems and less-established systems",several systems from heritage management,Individual Research,Fieldwork,Institutional Training,Government Institution,,,,,Workshops,Handbooks,Textbooks,Monographs,Journal Articles,Conference Papers,,,,,Yes,Major,it is a major impact because the communication with other subdisciplines is affected and even misunderstandings in the subdisciplines are common,No,"we should accept complementary definitions of terms and concepts
and find reconciliation of terms on a higher level of abstraction","Some of the terms within my own lexicon are part of a wider, accepted vocabulary.",culture,type,time slice,,,,Sometimes,Often,Sometimes,Sometimes,Always,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,journal articles,textbooks,wikipedia for mathematics but not archaeology,At data creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
